Date,Open,High,Low,Close,Adj Close,Volume
2009-01-28,111.186401,117.123299,110.843300,116.505600,94.675346,36376527
2009-01-29,115.218697,115.904999,112.730698,114.189201,92.792976,23558002
2009-01-30,113.931801,115.990799,112.730698,113.931801,92.583817,21849181
2009-02-02,113.159698,113.846001,108.698502,110.242699,89.585953,18358537
2009-02-03,110.843300,111.358002,108.698502,110.757500,90.004288,21750320
2009-02-04,111.529602,118.392998,110.156898,115.819199,94.117561,35744522
2009-02-05,113.760201,115.304497,111.787003,113.502800,92.235199,22313976
2009-02-06,114.703903,115.304497,111.529602,114.532303,93.071800,31566270
2009-02-09,114.532303,114.875504,109.985397,110.414299,89.725410,28080053
2009-02-10,109.899597,110.242699,104.237297,104.237297,84.705826,31305666
2009-02-11,103.722504,108.715599,103.636703,108.269501,87.982498,31146992
2009-02-12,108.183701,112.559097,106.124702,111.872803,90.910614,60043793
2009-02-13,112.644897,114.703903,110.946198,112.730698,91.607758,26418678
2009-02-16,111.014900,113.348396,109.813797,111.958603,90.980354,17178762
2009-02-17,111.358002,111.872803,105.610001,106.810997,86.797279,31004624
2009-02-18,107.583199,107.583199,103.636703,105.867302,86.030411,38529748
2009-02-19,106.725304,108.526901,104.837799,105.181000,85.472702,31639319
2009-02-20,104.151497,104.580498,100.548203,100.891403,81.986862,31428670
2009-02-23,102.950401,103.551003,94.542801,95.400703,77.524971,39780135
2009-02-24,93.942200,97.202301,93.170097,95.915497,77.943314,31525675
2009-02-25,98.231796,100.205101,97.717102,99.175598,80.592567,37041894
2009-02-26,99.604500,101.920898,98.231796,99.518700,80.871368,33001476
2009-02-27,97.888702,99.261299,95.143303,99.175598,80.592567,34486876
2009-03-02,97.545502,97.802902,94.028000,95.658096,77.734131,20868539
2009-03-03,96.086998,97.373901,92.140602,92.741203,75.363800,26345859
2009-03-04,95.057503,97.802902,93.427498,97.631302,79.337631,20860587
2009-03-05,96.344398,96.430199,89.995796,89.995796,73.132813,20105362
2009-03-06,90.510597,92.741203,88.708900,89.395302,72.644852,35575887
2009-03-09,89.910004,89.910004,86.649902,88.708900,72.087051,24646078
2009-03-10,89.137901,95.572304,88.194199,95.057503,77.246086,46230569
2009-03-11,94.371201,98.317596,92.826897,97.373901,79.128448,35541388
2009-03-12,99.518700,101.063004,96.773399,99.604500,80.941093,46805628
